N	participant	role	style	age	L1	home	AoA L2	dominant	area	B learnt where?	Sp learnt where?	SR COMPET (B)	SR COMPET (S)	EGA OR SIMILAR?	codesw_familiar	codesw_use	codesw_attitude	L1_B	L1_S	dominant_B	dominant_S	Spanish as L1?	cs_use	cs_attitude	consecu.id	simultaneous	consecu.id.bil	age.range	B_speakers	S_speakers	S_area
1	1	director	discourse	30	S	S	4	SB	Iruñerria	school	home	5	5	Yes	NA	hardly ever	Bad	0	1	1	1	yes	0.25	0	1	NA	1	15-34	0.15470941842847868	0.8452905815715213	1
2	2	matcher	discourse (at the end list)	23	S	S	4	S	Iruñerria	school	home	4	5	No?	NA	hardly ever	bad	0	1	0	1	yes	0.25	0	2	NA	2	15-34	0.15470941842847868	0.8452905815715213	1
3	3	director	discourse	35	SB	SB	NA	SB	Iruñerria	home	home	5	5	Yes	NA	hardly ever	IDK	1	1	1	1	yes	0.25	NA	3	*	3*	35-64	0.08032899426145088	0.9196710057385491	1
4	4	matcher	discourse	37	S	S	4	S	Iruñerria	school	home	4	5	Yes	NA	sometimes	Normal	0	1	0	1	yes	0.75	0.5	4	NA	4	35-64	0.08032899426145088	0.9196710057385491	1
5	5	director	mostly list	33	S	S	4	S	Iruñerria	school	home	4	5	No	NA	sometimes	Bad	0	1	0	1	yes	0.75	0	5	NA	5	15-34	0.15470941842847868	0.8452905815715213	1
6	6	matcher	list	33	S	S	4	S	Iruñerria	school	home	5	5	Yes	NA	sometimes	bad	0	1	0	1	yes	0.75	0	6	NA	6	15-34	0.15470941842847868	0.8452905815715213	1
7	7	director	discourse	36	S	S	4	S	Iruñerria	school	home	4	5	no?	NA	never	normal	0	1	0	1	yes	0	0.5	7	NA	7	35-64	0.08032899426145088	0.9196710057385491	1
8	8	matcher	"discourse-list (""en el siguiente…."")"	40	B	B	6	B	Leitza	home	tv, holidays	5	4	Yes	NA	never	bad	1	0	1	0	no	0	0	8	NA	8	35-64	0.877	0.123	0
9	9	matcher	list	47	S	S	18	B	Donostia	euskaltegi, street	home	5	5	Yes	Yes	sometimes	Normal	0	1	1	0	yes	0.75	0.5	9	NA	9	35-64	0.2917610708238929	0.7082389291761072	1
10	10	director	list	50	S	S	18	S	Donostia	euskaltegi	home	4	5	Yes	Yes	sometimes	Normal	0	1	0	1	yes	0.75	0.5	10	NA	10	35-64	0.2917610708238929	0.7082389291761072	1
11	A1	director	discourse	24	SB	SB	NA	S	Basauri	home	home	High	high	yes	yes	sometimes	IDK	1	1	0	1	yes	0.75	NA	11	*	11*	15-34	0.40498690000000004	0.5950131	1
13	A2	director	discourse	28	B	B	6	B	Zumarraga	home	school & street	high	high	Yes	Yes	Never	bad	1	0	1	0	no	0	0	12	NA	12	15-34	0.6518483348151666	0.3481516651848335	0
15	A3	director	list	22	B	B	6	B	Zumarraga	home	school	high	high	Yes	yes	sometimes	Normal	1	0	1	0	no	0.75	0.5	13	NA	13	15-34	0.6518483348151666	0.3481516651848335	0
17	A4	director	discourse first, then list	24	SB	SB	NA	SB	Gorliz	home	home	high	high	yes	yes	usually	normal	1	1	1	1	yes	1	0.5	14	*	14*	15-34	0.6056091000000001	0.39439089999999993	0
19	A5	director	list	27	B	B	6	B	Beasain	home	street	high	high	Yes	Yes	usually	Normal	1	0	1	0	no	1	0.5	15	NA	15	15-34	0.6587988999999999	0.3412011000000001	0
21	A6	director	list (primero X, segundo, tercero…)	25	S	S	4	SB	Urretxu	school	home	high	high	Yes	no	usually	Normal	0	1	1	1	yes	1	0.5	16	NA	16	15-34	0.7716312	0.22836880000000004	0
23	A7	director	discourse-list	26	SB	SB	NA	SB	Urretxu	home	home	high	high	Yes	no	usually	Normal	1	1	1	1	yes	1	0.5	17	*	17*	15-34	0.7716312	0.22836880000000004	0
25	A8	director	list	27	B	B	6	B	Zumarraga	home	school	high	high	Yes	no	never	bad	1	0	1	0	no	0	0	18	NA	18	15-34	0.6518483348151666	0.3481516651848335	0
27	A9	director	discourse mainly	30	B	SB	4	B	Zumarraga	home	home	high	mid	Yes	no	usually	normal	1	0	1	0	no	1	0.5	19	NA	19	15-34	0.6518483348151666	0.3481516651848335	0
29	A10	director	list mainly (cinco la gazta, seis el bekaina…)	29	S	S	4	S	Basauri	school	home	NA	NA	NA	NA	NA	NA	0	1	0	1	yes	NA	NA	20	NA	20	15-34	0.40498690000000004	0.5950131	1
30	A11	director	discourse-list	25	B	B	4	SB	Gasteiz	home	school, grandparents	high	high	Yes	no	usually	Normal	1	0	1	1	no	1	0.5	21	NA	21	15-34	0.3410701	0.6589299000000001	1
