participant	noun	target_lemma
1	uda	uda
1	errota	errota
1	gona	gona
1	praka	praka
1	soka	soka
1	tanta	tanta
1	gazta	gazta
1	tipula	tipula
2	uda	uda
2	errota	errota
2	gona	gona
2	praka	praka
2	soka	soka
2	ur-tanta	tanta
2	gazta	gazta
2	tipula	tipula
3	errota	errota
3	soka	soka
3	praka	praka
3	17 eta gazta	gazta
3	uda	uda
3	gona	gona
3	tipula	tipula
4	errota	errota
4	soka	soka
4	praka	praka
4	tanta	tanta
4	gazta	gazta
4	uda	uda
4	gona	gona
4	tipula	tipula
5	galtza	galtza
5	gazta	gazta
5	errota	errota
5	soka	soka
5	tipula	tipula
5	tanta	tanta
5	gona	gona
5	uda	uda
6	galtza	galtza
6	gazta	gazta
6	errota	errota
6	soka	soka
6	tipula	tipula
6	tanta	tanta
6	gona	gona
6	uda	uda
7	gazta	gazta
7	ur-tanta	tanta
7	soka	soka
7	tipula 7 zenbakiarekin	tipula
7	errota 10 zenbakiarekin	errota
7	prakak	galtza
7	urtaroak, uda	uda
7	gona 11 zenbakiarekin	gona
8	soka 12 zenbakia	soka
8	gona X zk	gona
8	galtza 6	galtza
8	uda	uda
8	ur-tanta 3	tanta
8	errota	errota
8	tipula 20	tipula
8	soka 3	soka
9	ta praka	galtza
9	tanta	tanta
9	uda	uda
9	kipula	tipula
9	errota	errota
9	gona	gona
9	soka	soka
9	gazta	gazta
10	galtza	galtza
10	gona	gona
10	tipul	tipula
10	gazta	gazta
10	tanta	tanta
10	uda	uda
10	errota	errota
10	soka	soka
11	tipula	tipula
11	lepo	lepo
11	bekain	bekain
11	gezi	gezi
11	uda	uda
11	txanpon	txanpon
11	hosto	hosto
11	euri	euri
11	tanta	tanta
11	belaun	belaun
11	moko	moko
11	soka	soka
11	kirten	kirten
11	errota	errota
11	ezti	ezti
11	babarrun	babarrun
11	gazta	gazta
11	malko	malko
11	eraztun	eraztun
11	fraka	galtza
11	ezpain	ezpain
11	poxpolo	poxpolo
11	komun	komun
12	tipula	tipula
12	lepo	lepo
12	bekaina	bekain
12	gezi	gezi
12	uda	uda
12	txanpon	txanpon
12	hosto	hosto
12	euri… laino	euri
12	ur tanta	tanta
12	belaun	belaun
12	moko	moko
12	soka	soka
12	kirten	kirten
12	errota	errota
12	ezti pote	ezti
12	babarrun	babarrun
12	gazta, gaztai	gazta
12	malko	malko
12	eraztun	eraztun
12	praka	galtza
12	ezpain	ezpain
12	poxpolo	poxpolo
12	komun	komun
13	tipula	tipula
13	lepo	lepo
13	bekain	bekain
13	gezi	gezi
13	uda	uda
13	txanpon	txanpon
13	hosto	hosto
13	euri	euri
13	belaun	belaun
13	moko	moko
13	soka	soka
13	kirten	kirten
13	errota	errota
13	ezti	ezti
13	babarrun	babarrun
13	gazta	gazta
13	malko	malko
13	eraztun	eraztun
13	praka	galtza
13	ezpain	ezpain
13	poxpolo	poxpolo
13	komun	komun
14	tipula	tipula
14	lepo	lepo
14	bekain	bekain
14	gezi	gezi
14	uda	uda
14	txanpon	txanpon
14	hosto	hosto
14	euri	euri
14	tanta	tanta
14	belaun	belaun
14	moko	moko
14	soka	soka
14	kirten	kirten
14	errota	errota
14	ezti	ezti
14	babarrun	babarrun
14	gazta	gazta
14	malko	malko
14	eraztun	eraztun
14	praka	galtza
14	ezpain	ezpain
14	poxpolo	poxpolo
14	komun	komun
15	tipula	tipula
15	lepo	lepo
15	bekain	bekain
15	gezi	gezi
15	uda	uda
15	txanpon	txanpon
15	hosto	hosto
15	euri	euri
15	tanta	tanta
15	belaun	belaun
15	moko	moko
15	soka	soka
15	kirten	kirten
15	errota	errota
15	ezti	ezti
15	babarrun	babarrun
15	gazta	gazta
15	malko	malko
15	eraztun	eraztun
15	praka	galtza
